Date,Close/Last,Volume,Open,High,Low
11/10/2023,$9.86,45122030,$9.81,$9.87,$9.67
11/09/2023,$9.70,59356870,$10.04,$10.07,$9.69
11/08/2023,$10.05,38700610,$10.19,$10.21,$10.03
11/07/2023,$10.17,50430830,$10.25,$10.29,$10.05
11/06/2023,$10.31,48435470,$10.56,$10.60,$10.24
11/03/2023,$10.56,60912420,$10.26,$10.64,$10.25
11/02/2023,$10.14,66913970,$10.02,$10.15,$9.97
11/01/2023,$9.91,75469740,$9.835,$9.93,$9.76
10/31/2023,$9.75,82238820,$9.72,$9.91,$9.63
10/30/2023,$9.77,106474700,$10.08,$10.14,$9.68
10/27/2023,$9.96,187029600,$10.93,$10.97,$9.90
10/26/2023,$11.35,84725890,$11.91,$11.93,$11.33
10/25/2023,$11.54,74213780,$11.35,$11.64,$11.21
10/24/2023,$11.39,47775580,$11.50,$11.5703,$11.38
10/23/2023,$11.48,49073770,$11.55,$11.69,$11.42
10/20/2023,$11.64,53307520,$11.58,$11.76,$11.54
10/19/2023,$11.53,49057510,$11.59,$11.76,$11.51
10/18/2023,$11.75,44840140,$11.93,$11.93,$11.75
10/17/2023,$12.04,40516470,$11.85,$12.17,$11.85
10/16/2023,$11.93,29183010,$11.91,$11.96,$11.82
10/13/2023,$11.81,47289170,$11.97,$12.00,$11.80
10/12/2023,$12.00,51644020,$11.88,$12.07,$11.84
10/11/2023,$12.25,31321510,$12.29,$12.39,$12.15
10/10/2023,$12.20,40404620,$12.10,$12.30,$12.09
10/09/2023,$12.07,33327960,$11.80,$12.15,$11.78
10/06/2023,$12.00,57558510,$11.82,$12.15,$11.685
10/05/2023,$11.90,47424950,$11.94,$11.9999,$11.69
10/04/2023,$11.99,45217850,$12.02,$12.08,$11.88
10/03/2023,$12.07,55074670,$12.16,$12.23,$12.02
10/02/2023,$12.31,51204000,$12.38,$12.44,$12.23
09/29/2023,$12.42,62364860,$12.61,$12.66,$12.35
09/28/2023,$12.56,49109810,$12.32,$12.66,$12.17
09/27/2023,$12.39,41616550,$12.52,$12.52,$12.25
09/26/2023,$12.43,41261040,$12.49,$12.655,$12.37
09/25/2023,$12.58,41219440,$12.35,$12.70,$12.34
09/22/2023,$12.43,65205500,$12.50,$12.765,$12.41
09/21/2023,$12.20,40140540,$12.20,$12.35,$12.16
09/20/2023,$12.36,37449590,$12.65,$12.67,$12.35
09/19/2023,$12.56,40899970,$12.34,$12.65,$12.31
09/18/2023,$12.34,47444110,$12.50,$12.52,$12.25
09/15/2023,$12.61,63982370,$12.40,$12.79,$12.40
09/14/2023,$12.62,43461650,$12.61,$12.70,$12.41
09/13/2023,$12.64,62579700,$12.69,$12.91,$12.63
09/12/2023,$12.45,49507700,$12.23,$12.59,$12.22
09/11/2023,$12.22,34673650,$12.36,$12.40,$12.17
09/08/2023,$12.30,49538880,$11.97,$12.36,$11.97
09/07/2023,$11.96,38559570,$11.95,$12.05,$11.90
09/06/2023,$12.07,41881460,$12.00,$12.11,$11.825
09/05/2023,$12.09,35202040,$12.12,$12.18,$12.035
09/01/2023,$12.14,34716860,$12.16,$12.27,$12.04
08/31/2023,$12.13,39025750,$12.13,$12.27,$12.09
08/30/2023,$12.03,30617910,$12.07,$12.15,$12.01
08/29/2023,$12.05,32009030,$11.95,$12.06,$11.89
08/28/2023,$11.90,29693470,$11.95,$12.06,$11.85
08/25/2023,$11.91,47610010,$11.83,$11.99,$11.58
08/24/2023,$11.75,33338170,$11.89,$11.93,$11.75
08/23/2023,$11.96,30437700,$11.82,$11.97,$11.80
08/22/2023,$11.87,32045260,$12.01,$12.03,$11.84
08/21/2023,$11.97,33456670,$12.04,$12.06,$11.87
08/18/2023,$11.96,44519910,$11.73,$12.02,$11.72
08/17/2023,$11.83,36104890,$11.88,$11.97,$11.78
08/16/2023,$11.81,44838860,$11.90,$12.03,$11.80
08/15/2023,$11.98,42616410,$12.06,$12.145,$11.97
08/14/2023,$12.20,48099570,$12.03,$12.23,$12.02
08/11/2023,$12.14,64371740,$12.12,$12.20,$12.00
08/10/2023,$12.16,104063900,$12.78,$12.78,$12.08
08/09/2023,$12.73,42932650,$12.77,$12.83,$12.66
08/08/2023,$12.88,45103820,$12.77,$12.90,$12.70
08/07/2023,$12.94,43929200,$12.93,$12.96,$12.78
08/04/2023,$12.89,48412900,$13.10,$13.10,$12.80
08/03/2023,$13.10,52073110,$12.99,$13.14,$12.86
08/02/2023,$13.04,57997360,$13.20,$13.23,$12.98
08/01/2023,$13.42,59221810,$13.15,$13.44,$13.11
07/31/2023,$13.21,64507650,$13.01,$13.22,$12.91
07/28/2023,$13.26,116696500,$13.58,$13.65,$13.015
07/27/2023,$13.73,67313470,$13.83,$13.98,$13.70
07/26/2023,$13.67,42019690,$13.55,$13.75,$13.52
07/25/2023,$13.58,58772710,$13.86,$13.86,$13.56
07/24/2023,$13.96,46686970,$13.89,$14.02,$13.85
07/21/2023,$13.93,55800460,$14.13,$14.16,$13.75
07/20/2023,$14.03,45952610,$14.03,$14.08,$13.90
07/19/2023,$14.10,58280810,$14.14,$14.26,$14.06
07/18/2023,$14.17,71775090,$13.95,$14.17,$13.92
07/17/2023,$14.09,99402100,$14.58,$14.63,$14.09
07/14/2023,$14.98,48747870,$15.23,$15.27,$14.91
07/13/2023,$15.19,49664260,$15.27,$15.28,$15.0801
07/12/2023,$15.22,47636770,$15.37,$15.42,$15.20
07/11/2023,$15.23,45849720,$15.07,$15.25,$14.97
07/10/2023,$15.07,51881980,$14.96,$15.09,$14.83
07/07/2023,$14.98,53375490,$14.99,$15.24,$14.94
07/06/2023,$14.98,64914440,$15.17,$15.25,$14.88
07/05/2023,$15.35,52003890,$15.21,$15.42,$15.12
07/03/2023,$15.24,29412750,$15.15,$15.40,$15.15
06/30/2023,$15.13,54036920,$15.05,$15.23,$14.96
06/29/2023,$14.95,58488580,$14.87,$15.13,$14.79
06/28/2023,$14.79,58380780,$14.39,$14.79,$14.37
06/27/2023,$14.41,49813100,$14.19,$14.455,$14.06
06/26/2023,$14.11,44956270,$14.01,$14.23,$13.99
06/23/2023,$14.02,48260250,$13.93,$14.15,$13.92
06/22/2023,$14.19,46862480,$13.91,$14.30,$13.89
06/21/2023,$14.02,49984280,$14.24,$14.28,$13.94
06/20/2023,$14.22,56645780,$14.30,$14.42,$13.98
06/16/2023,$14.42,75398060,$14.52,$14.61,$14.32
06/15/2023,$14.45,61463420,$14.12,$14.50,$14.12
06/14/2023,$14.20,69748540,$14.25,$14.45,$13.97
06/13/2023,$14.13,61781140,$13.90,$14.17,$13.89
06/12/2023,$13.78,44628270,$13.80,$13.8847,$13.65
06/09/2023,$13.74,70329520,$13.83,$14.03,$13.70
06/08/2023,$13.58,64254710,$13.53,$13.74,$13.46
06/07/2023,$13.59,99341980,$13.02,$13.60,$12.98
06/06/2023,$12.93,57258450,$12.55,$12.93,$12.51
06/05/2023,$12.59,49890210,$12.66,$12.68,$12.50
06/02/2023,$12.39,65261190,$12.26,$12.51,$12.14
06/01/2023,$12.11,64407820,$12.065,$12.18,$11.84
05/31/2023,$12.00,86275280,$12.48,$12.49,$11.96
05/30/2023,$12.59,86226890,$12.65,$12.78,$12.5129
05/26/2023,$12.09,123257500,$11.59,$12.29,$11.54
05/25/2023,$11.38,51328850,$11.33,$11.52,$11.33
05/24/2023,$11.33,71391020,$11.64,$11.65,$11.25
05/23/2023,$11.73,56843820,$11.53,$11.91,$11.53
05/22/2023,$11.63,57417160,$11.71,$11.73,$11.37
05/19/2023,$11.65,43474190,$11.66,$11.77,$11.54
05/18/2023,$11.64,38181420,$11.46,$11.66,$11.45
05/17/2023,$11.50,50077490,$11.35,$11.64,$11.32
05/16/2023,$11.25,60514940,$11.55,$11.58,$11.24
05/15/2023,$11.64,53196970,$11.70,$11.72,$11.59
05/12/2023,$11.67,45155450,$11.93,$11.94,$11.65
05/11/2023,$11.87,43030790,$11.83,$11.88,$11.755
05/10/2023,$11.89,49193080,$12.02,$12.04,$11.73
05/09/2023,$11.86,42878330,$11.89,$11.93,$11.78
05/08/2023,$12.02,49943810,$12.02,$12.055,$11.85
05/05/2023,$11.99,64173270,$11.79,$12.04,$11.72
05/04/2023,$11.56,79792930,$11.80,$11.83,$11.47
05/03/2023,$11.79,94050680,$11.74,$12.09,$11.73
05/02/2023,$11.80,91090360,$12.05,$12.09,$11.66
05/01/2023,$12.06,59834200,$12.005,$12.29,$11.99
04/28/2023,$11.88,55045020,$11.59,$11.94,$11.57
04/27/2023,$11.61,53280320,$11.61,$11.71,$11.44
04/26/2023,$11.54,58105310,$11.80,$11.86,$11.51
04/25/2023,$11.77,63114710,$11.97,$11.98,$11.70
04/24/2023,$12.16,57794700,$11.89,$12.18,$11.88
04/21/2023,$11.81,46926460,$11.90,$11.917,$11.66
04/20/2023,$11.87,79563050,$11.81,$11.93,$11.55
04/19/2023,$12.22,69451850,$12.60,$12.60,$12.17
04/18/2023,$12.73,38865870,$12.70,$12.76,$12.62
04/17/2023,$12.68,40191110,$12.50,$12.68,$12.455
04/14/2023,$12.52,43541960,$12.45,$12.66,$12.42
04/13/2023,$12.46,75485670,$12.64,$12.64,$12.22
04/12/2023,$12.67,53845480,$13.06,$13.08,$12.65
04/11/2023,$12.87,63633650,$12.79,$13.07,$12.785
04/10/2023,$12.72,61326170,$12.20,$12.72,$12.16
04/06/2023,$12.33,36355780,$12.415,$12.48,$12.29
04/05/2023,$12.43,53332900,$12.58,$12.65,$12.22
04/04/2023,$12.72,54655660,$12.77,$12.85,$12.51
04/03/2023,$12.68,55956290,$12.525,$12.73,$12.48
03/31/2023,$12.60,66868200,$12.41,$12.63,$12.39
03/30/2023,$12.29,57751290,$12.28,$12.39,$12.20
03/29/2023,$12.05,48655410,$11.78,$12.06,$11.71
03/28/2023,$11.60,41385910,$11.55,$11.65,$11.46
03/27/2023,$11.52,55941140,$11.63,$11.70,$11.41
03/24/2023,$11.51,72584550,$11.32,$11.51,$11.18
03/23/2023,$11.42,74225340,$11.65,$11.78,$11.27
03/22/2023,$11.48,69729140,$11.76,$11.94,$11.47
03/21/2023,$11.72,74794900,$11.40,$11.78,$11.38
03/20/2023,$11.18,74975050,$11.33,$11.48,$11.15
03/17/2023,$11.30,249885100,$11.70,$11.725,$11.12
03/16/2023,$11.82,74066940,$11.53,$11.89,$11.42
03/15/2023,$11.71,108909300,$11.495,$11.73,$11.32
03/14/2023,$11.93,93844170,$12.21,$12.31,$11.77
03/13/2023,$12.03,119167600,$11.93,$12.305,$11.32
03/10/2023,$12.10,73897400,$12.43,$12.51,$12.00
03/09/2023,$12.45,65423520,$13.02,$13.08,$12.44
03/08/2023,$12.98,46421010,$12.78,$13.01,$12.71
03/07/2023,$12.83,46540450,$12.94,$12.98,$12.78
03/06/2023,$12.98,50571190,$13.08,$13.18,$12.93
03/03/2023,$13.08,80080210,$12.72,$13.105,$12.65
03/02/2023,$12.55,78392020,$12.38,$12.55,$12.23
03/01/2023,$12.32,85328790,$12.35,$12.54,$12.17
02/28/2023,$12.07,59796830,$12.07,$12.18,$12.01
02/27/2023,$12.06,60378080,$11.975,$12.42,$11.96
