Date,open_sp,high_sp,low_sp,close_sp,volume_sp
"Oct 22, 2018","2773.94","2778.94","2749.22","2755.88","3331270000"
"Oct 19, 2018","2775.66","2797.77","2760.27","2767.78","3593940000"
"Oct 18, 2018","2802.00","2806.04","2755.18","2768.78","3639300000"
"Oct 17, 2018","2811.67","2816.94","2781.81","2809.21","3347090000"
"Oct 16, 2018","2767.05","2813.46","2766.91","2809.92","3460260000"
"Oct 15, 2018","2763.83","2775.99","2749.03","2750.79","3327160000"
"Oct 12, 2018","2770.54","2775.77","2729.44","2767.13","4024010000"
"Oct 11, 2018","2776.87","2795.14","2710.51","2728.37","4914090000"
"Oct 10, 2018","2873.90","2874.02","2784.86","2785.68","4554260000"
"Oct 09, 2018","2882.51","2894.83","2874.27","2880.34","3531690000"
"Oct 08, 2018","2877.53","2889.45","2862.08","2884.43","3381820000"
"Oct 05, 2018","2902.54","2909.64","2869.29","2885.57","3340820000"
"Oct 04, 2018","2919.35","2919.78","2883.92","2901.61","3510370000"
"Oct 03, 2018","2931.69","2939.86","2921.36","2925.51","3625510000"
"Oct 02, 2018","2923.80","2931.42","2919.37","2923.43","3432620000"
"Oct 01, 2018","2926.29","2937.06","2917.91","2924.59","3375890000"
"Sep 28, 2018","2910.03","2920.53","2907.50","2913.98","3461680000"
"Sep 27, 2018","2911.65","2927.22","2909.27","2914.00","3101360000"
"Sep 26, 2018","2916.98","2931.15","2903.28","2905.97","3417540000"
"Sep 25, 2018","2921.75","2923.95","2913.70","2915.56","3330880000"
"Sep 24, 2018","2921.83","2923.79","2912.63","2919.37","3392030000"
"Sep 21, 2018","2936.76","2940.91","2927.11","2929.67","5652470000"
"Sep 20, 2018","2919.73","2934.80","2919.73","2930.75","3406520000"
"Sep 19, 2018","2906.60","2912.36","2903.82","2907.95","3302460000"
"Sep 18, 2018","2890.74","2911.17","2890.43","2904.31","3091190000"
"Sep 17, 2018","2903.83","2904.65","2886.16","2888.80","2967980000"
